Test: zadanie3a1
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.010000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.020000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.010000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.020000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.020000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.070000s, User time: 0.000000s, System time: 0.000000s
Test: zadanie3a2
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.010000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.010000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.010000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.010000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.010000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.060000s, User time: 0.000000s, System time: 0.000000s
Test: zadanie3a3
Real time: 0.010000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.010000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.010000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.010000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.010000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.010000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.060000s, User time: 0.000000s, System time: 0.000000s
