Test: zadanie3b11
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.010000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.010000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.010000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.010000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.010000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.010000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.060000s, User time: 0.000000s, System time: 0.000000s
Test: zadanie3b12
Real time: 0.010000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.020000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.010000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.020000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.010000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.010000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.100000s, User time: 0.000000s, System time: 0.000000s
Test: zadanie3b13
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.010000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.010000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.010000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.010000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.020000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.070000s, User time: 0.000000s, System time: 0.000000s
Test: zadanie3b21
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.000000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.020000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.010000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.010000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.010000s, User time: 0.000000s, System time: 0.000000s
Real time: 0.010000s, User time: 0.000000s, System time: 0.000000s
